genus	mean.weight
Hymenobacter	-0.10002112368736758
Acetobacter	-0.09970782364015186
Limosilactobacillus	-0.10239855362351755
Photobacterium	-0.10375945888083886
CAG-452	-0.10479580211402745
Escherichia	-0.1046818255658081
Mitochondria_genus_incertae_sedis	-0.10495188833089042
Lactococcus_A	-0.1060173402063557
Dysosmobacter	-0.10657509143536155
Paraclostridium	-0.10738075491675991
UBA7109	-0.107625134232174
Ruthenibacterium	-0.10805450136571472
Onthenecus	-0.1088735788219081
GCA-900066495	-0.10882837982223083
Coproplasma	-0.11369332043066604
S5-A14a	-0.11554705870462241
Lachnoclostridium	-0.11629469489129968
Brevibacterium	-0.11770699529786435
Veillonella	-0.1181571836902661
Turicibacter	-0.11913472203413997
Faecalibacillus	-0.11915142683239613
UBA3064	-0.12022796031738915
Lactobacillus	-0.12028655802741837
Ligilactobacillus	-0.1239800635444171
Malaciobacter	-0.12451938946480795
UBA4285	-0.1270192308987933
Rhizomicrobium	-0.12904517833829793
Glaesserella	-0.12945989587888246
Bacteroides	-0.13346028924269351
Pelagibacterium	-0.13310998261227067
Parvimonas	-0.13387424270494588
Collinsella	-0.1357088100474509
Reyranella	-0.14004804685134284
UBA3871	-0.13934875303518532
Achromobacter	-0.14057597539804867
Pediococcus	-0.14216384428011836
Cutibacterium	-0.1465290181575687
Eisenbergiella	-0.1492386386444975
Mucilaginibacter	-0.15094967908117501
Lancefieldella	-0.15386904056932443
Gemmiger_A	-0.15762700111550904
Luminiphilus	-0.16059175688381438
Spirillospora	-0.16117294209023794
Geobacillus	-0.18345941036931196
Arenimonas	-0.19128829288320956
Peptostreptococcus	-0.19421834284851838
Halioglobus	-0.22799758627030867
Fusobacterium	-0.27074005421859026
