feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
ko:K00733	NA	NA	1.12949	NA	NA	2.2479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14514	NA	NA
ko:K00737	47.46678	3.07759	2.48611	NA	19.07706	7.74613	27.64456	15.33193	7.82184	7.06285	11.35679	NA	20.30628	1.47313	7.76538	NA	9.82451	13.20582	4.67923	22.952	78.89545	10.95084	NA	10.73662	2.68984	1.53771	18.89828	1.87259	35.3199	12.51861	1.92402	4.85459	3.83722	NA	6.81105
ko:K00738	NA	NA	NA	NA	NA	NA	NA	NA	0.97589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12891	NA	NA	NA	NA	NA
ko:K00739	NA	NA	3.42345	0.82221	1.34368	0.5201	NA	NA	NA	NA	NA	NA	NA	0.37733	4.59294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13679	1.09187	25.60782	NA	NA
ko:K00741	NA	NA	NA	NA	NA	NA	NA	0.62749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00745	1.47933	3.63398	1.57438	1.36145	0.18102	2.15274	2.08861	5.59682	23.81913	0.38099	47.87031	3.78247	6.5725	0.98326	2.13129	NA	1.44063	17.67015	1.43616	18.07857	22.08111	100.13851	NA	48.52692	NA	NA	NA	0.53223	4.76513	7.29866	1.75718	0.73172	1.19758	1.78334	1.4399
ko:K00748	344.37041	648.50669	559.64832	1539.4183	945.56428	304.917	1762.74045	1541.42456	453.6665	975.48708	677.99211	605.6403	436.68145	955.90368	1366.71759	419.40572	2206.02001	1916.48306	1106.45859	958.95899	767.62699	1843.81582	776.01049	398.73846	594.03048	1534.27962	1261.07806	970.61477	642.76245	1009.79463	919.84165	846.05814	336.6832	835.1886	784.6854
ko:K00749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71452	5.5959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73172	NA	NA	NA
ko:K00750	0.81841	0.93382	NA	14.9183	0.00442	NA	NA	3.08363	0.96159	2.14986	1.15973	NA	NA	NA	8.19162	NA	NA	NA	NA	NA	15.35865	22.22109	NA	1.67442	NA	NA	NA	0.21762	NA	6.05071	7.19497	0.33068	3.4518	2.25585	NA
ko:K00752	1.59209	27.89572	8.84298	16.44275	15.93455	41.24044	6.52296	6.30039	24.61919	8.75916	9.04738	2.27621	4.40379	6.5656	27.84687	0.64054	2.48369	NA	NA	24.88451	24.68363	1.07143	5.42512	0.33411	0.41345	NA	0.71658	0.33821	2.16707	3.77329	3.40971	2.2342	1.64304	121.37423	45.65869
